"If men could get pregnant, abortion would be a sacrament!"|"— Florynce Kennedy"
"Admiration: Our polite recognition of another's resemblance to ourselves."|"— Ambrose Bierce"
"Advertising is a valuable economic factor because it is the cheapest way of seeling goods, particularly if the goods are worthless."|"— Sinclair Lewis"
"Advertising is legalized lying."|"— H. G. Wells"
"An alcoholic is someone you don't like who drinks as much as you do."|"— Dylan Thomas"
"In our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and the prudence never to practice either."|"— Mark Twain"
"America is the greatest of opportunities and the worst of influences."|"— George Santayana"
"The discovery of America was the occasion of the greatest outburst of cruelty and reckless greed known in history."|"— Joseph Conrad"
"The genius of you Americans is that you never make clear-cut stupid moves, only complicated stupid moves which make us wonder at the possibility that there may be something to them which we are missing."|"— Gamal Abdel Nasser"
"Animals have these advantages over man: they have no theologians to instruct them, their funerals cost them nothing, and no one starts lawsuits over their wills."|"— Voltaire"
"There is no underestimating the intelligence of the American public."|"— H. L. Mencken"
"Democracy is the art of running the circus from the monkey cage."|"— H. L. Mencken"
"Perhaps the most revolting character that the United States ever produced was the Christian business man."|"— H. L. Mencken"
"Texas is the place where there are the most cows and the least milk and the most rivers and the least water in them, and where you can look the farthest and see the least."|"— H. L. Mencken"
"It ain't those parts of the Bible that I can't understand that bother me, it's the parts that I do understand."|"— Mark Twain"
"So far as I can remember, there is not one word in the Gospels in praise of intelligence."|"— Bertrand Russell"
"Scriptures: The sacred books of our holy religion, as distinguished from the false and profane writings on which all other faiths are based."|"— Ambrose Bierce"
"The inspiration of the Bible depends on the ignorance of the person who reads it."|"— Robert G. Ingersoll"
"No one recovers from the disease of being born; a deadly wound if there ever was one."|"— E. M. Cioran"
"The trouble with born-again Christians is that they are an even bigger pain the second time around."|"— Herb Caen"
"He's a born-again Christian. The trouble is, he suffered brain damage during rebirth."|"— Anonymous"
"If Christ were here now there is one thing he would not be — A Christian."|"— Mark Twain"
"Organized Christianity has probably done more to retard the ideals that were its founder's than any other agency in the world."|"— Richard LeGallienne"
"Of learned men, the clergy show the lowest development of professional ethics. Any pastor is free to steal customers from the divines of rival sects, and to denounce the divines themselves as theological quacks."|"— H. L. Mencken"
"Consistency is the last refuge of the unimaginative."|"— Oscar Wilde"
"Convictions are more dangerous enemies of truth than lies."|"— Nietzsche"
"Democracy encourages the majority to decide things about which the majority is blissfully ignorant."|"— John Simon"
"The substitution of election by the incompetent many for appointment by the corrupt few properly describes the institution of Democracy."|"— George Bernard Shaw"
"We learn from experience that men never learn anything from experience."|"— Oscar Wilde"
"Faith: Belief without evidence in what is told by one sho speaks without knowledge, of things without parallel."|"— Ambrose Bierce"
"Faith may be defined briefly as an illogical belief in the occurrence of the improbable."|"— H. L. Mencken"
"A casual stroll through the lunatic asylum shows that faith does not prove anything."|"— Nietzsche"
"The most common of all follies is to believe passionately in the palpably not true. It is the chief occupation of mankind."|"— H. L. Mencken"
"Always forgive your enemies — Nothing annoys them so much."|"— Oscar Wilde"
"When people are free to do as they please, they usually imitate each other. "|"— Eric Hoffer"
"If you want a picture of the future, imagine a boot stomping on a human face — forever."|"— George Orwell"
"When a true genius appears in the world you may know him by this sign: that all the dunces are in confederacy against him."|"— Jonathon Swift"
"The only excuse for God is that he doesn't exist."|"— Stendhal"
"It takes a long while for a naturally trustful person to reconcile himself to the idea that after all God will not help him."|"— H. L. Mencken"
"On the whole, human beings want to be good, but not too good and not quite all the time."|"— George Orwell"
"Few things are harder to put up with than the annoyance of a good example. "|"— Mark Twain"
"Every government is run by liars and nothing they say should be believed. "|"— I. F. Stone"
"History is a set of lies agreed upon."|"— Napoleon Bonaparte"
"We learn from history that we do not learn from history."|"— G. F. Wilhelm Hegel"
"An historian is nothing more than an unsuccessful novelist."|"— H. L. Mencken"
"History would be a wonderful thing — if only it were true."|"— H. L. Mencken"
"Hope in reality is the worst of all evils, because it prolongs the torments of man."|"— Nietzsche"
"There are times when you hav to choose between being human and having good taste."|"— Bertoldt Brecht"
"It is easier to denature plutonium than to denature the evil spirit of man. "|"— Albert Einstein"
"No doubt Jack the Ripper excused himself on the grounds that it was human nature."|"— A. A. Milne"
"An ounce of hypocrisy is worth a pound of ambition."|"— Michael Korda"
"There is much to be said in favor of modern journalism. By giving us the opinions of the uneducated, it keeps us in touch with the ignorance of the community."|"— Oscar Wilde"
"Kill one man and you are a murderer. Kill millions and you are a conqueror. Kill everyone and you are a God."|"— Jean Rostand"
"Laziness is nothing more than the habit of resting before you get tired. "|"— Jules Renard"
"It is always the best policy to tell the truth, unless of course, you are an exceptionally good liar."|"— Jerome K. Jerome"
"The liberals can understand everything but people who don't understand them."|"— Lenny Bruce"
"A liberal is a man too broadminded to take his own side in a quarrel."|"— Robert Frost"
"Liberty means responsibility; that is why most men dread it."|"— George Bernard Shaw"
"Liberty doesn't work as well in practice as it does in speeches."|"— Will Rogers"
"Life does not cease to be funny when people die any more than it ceases to be serious when people laugh."|"— George Bernard Shaw"
"It's possible to love a human being if you don't know them too well."|"— Charles Bukowski"
"Martyrdom is the only way in which a man can become famous without ability."|"— George Bernard Shaw"
"When it is a question of money, everybody is of the same religion."|"— Voltaire"
"Virtue has never been as respectable as money."|"— Mark Twain"
"Go into the street and give one man a lecture on morality and another a dollar, and see which will respect you most."|"— Samuel Johnson"
"Obscenity is whatever gives a judge an erection."|"— Anonymous"
"The optimist thinks that this is the best of all possible worlds, and the pessimist knows it."|"— J. Robert Oppenheimer"
"A paranoid is a man who knows a little of what's going on."|"— William Burroughs"
"Patience: A minor form of despair, disguised as a virtue."|"— Ambrose Bierce"
"Patriotism is the willingness to kill and be killed for trivial reasons."|"— Bertrand Russell"
"When you hear a man speak of his love for his country, it is a sign he expects to get paid for it."|"— H. L. Mencken"
"Patriotism is the virtue of the vicious."|"— Oscar Wilde"
"When there are two conflicting versions of the story, the wise course is to believe the one in which people appear at their worst."|"— H. Allen Smith"
"A pessimist thinks everybody is as nasty as himself, and hates them for it."|"— George Bernard Shaw"
"A good politician is quite as unthinkable as an honest burglar."|"— H. L. Mencken"
"Anybody that wants the presidency so much that he'll spend two years organizing and campaigning for it is not to be trusted with the office."|"— David Broder"
"The standard of intellect in politics is lo low, men of moderate mental capacity have to stoop to reach it."|"— Hillaire Belloc"
"All politics are based on the indifference of the majority."|"— James Reston"
"A great many people think they are thinking when they are merely rearranging their prejudices."|"— William James"
"Ther is only one honest impulse at the bottom of Puritanical religion, and that is the impulse to punish the man with a superior capacity for happiness."|"— H. L. Mencken"
"The trouble with the rat race is that even if you win, you're still a rat."|"— Lily Tomlin"
"All religions are founded on the fear of the many and the the cleverness of the few."|"— Stendahl"
"Randomness scares people. Religion is a way to explain randomness."|"— Fran Lebowitz"
"Religion is the fashinonable substitue for belief."|"— Oscar Wilde"
"We must respect the other fellow's religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart."|"— H. L. Mencken"
"Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think."|"— Arthur Schopenhauer"
"We have just enough religion to make us hate, but not enough to make us love one another."|"— Jonathan Swift"
"Ther was no respect for youth when I was young, and now that I am old, there is not respect for age. I missed it coming and going."|"— J. B. Priestley"
"Every revolution evaporates and leaves behind only the slime of a new bureaucracy."|"— Franz Kafka"
"Every man thinks God is on his side. The rich and powerful know he is."|"— Jean Anouilh"
"Most rock journalism is people who can't write interviewing people who can't talk for people who can't read."|"— Frank Zappa"
"If you attack stupidity you attack an entrenched interest with friends in government and every walk of public life, and you will make small progress against it."|"— Samual Marchbanks"
"Moderation is a fatal thing. Nothing succeeds like excess."|"— Oscar Wilde"
"Few people think more than two or three times a year; I have made an international reputation for myself by thinking once or twice a week."|"— George Bernard Shaw"
"People who have given us their complete confidence believe that they have a right to ours. The inference is false; a gift confers no rights. "|"— Nietzsche"
"I prefer the wicked rather than the foolish. The wicked sometimes rest."|"— Alexandre Dumas"
"In the fight between you and the world, back the world."|"— Frank Zappa"
"If the world were a logical place, men would ride side-saddle."|"— Rita Mae Brown"
"Find out who you are. And do it on purpose."|"— DollyParton"
"I'm not offended by all the dumb blonde jokes because I know I'm not dumb... and I also know that I'm not blonde."|"— DollyParton"
"‘The time has come,’ the Walrus said, ‘To talk of many things: Of shoes—and ships—and sealing-wax— Of cabbages—and kings— And why the sea is boiling hot— And whether pigs have wings.’"|"— Lewis Carroll"
"The only Zen you find on the tops of mountains is the Zen you bring up there."|"— Robert M. Pirsig"
"But we humans have a talent for deceiving ourselves. Skepticism must be a component of the explorer’s toolkit, or we will lose our way. There are wonders enough out there without our inventing any."|"— Carl Sagan"
"Your writing is never as good as you hoped; but never as bad as you feared."|"— Bertrand Russell"
"Change happens by listening and then starting a dialogue with the people who are doing something you don't believe is right."|"— Jane Goodall"
"Any book worth banning is a book worth reading."|"— Isaac Asimov"
"Evolution is not controversial in the field of science. It's controversial in the public sphere because public education is highly politicized."|"— Eugenie C. Scott"
"I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum."|"— Janna Levin"
"Avoiding climate breakdown will require cathedral thinking. We must lay the foundation while we may not know exactly how to build the ceiling."|"— Greta Thunberg"
"Unless we stop the degradation of our oceans, marine ecological systems will begin collapsing … And if the oceans die, then civilization collapses and we all die."|"— Paul Watson"
"We didn't sink those ships for you. We did it for the whales."|"— Paul Watson"
"I've always thought that writing isn't really that hard. It's having a good idea that's hard."|"— Lyle Lovett"
"If I wasn't Bob Dylan, I'd probably think that Bob Dylan has a lot of answers myself."|"— Bob Dylan"
"Any fool can make something complicated. It takes a genius to make it simple."|"— Woody Guthrie"
"Violence is the last refuge of the incompetent."|"— Isaac Asimov"
"Quotes are for dumb people who can't think of something intelligent to say on their own."|"— Bo Burnham"
"Your ideas are intriguing to me and I wish to subscribe to your newsletter."|"— Homer Simpson"
"As some Chinese philosopher said, 'Just dig a hole that's deep enough, and everybody'll want to jump into it.'"|"— The Firesign Theater"
"Without deviation from the norm, progress is not possible."|"— Frank Zappa"
"I don't remember everything about my life, but I'm very fortunate to have a group of friends I can rely on—they fill in the blanks."|"— Joe Walsh"
